eventid,result
4624 4769 4624 4624 4769 4768 4769 4768 4624 4624 4769 4768 4769 4768 4624 4624 4769 4768 4769 4768 4624 4624 4769 4768 4769 4768 4768 4769 4768 4624 4624 4624 4624 4769 4624 4624 4769 4768 4769 4768 4624 4624 4624 4624 4769 4624 4769 4768 4769 4768 4624 4769 4768 4624 4624 4769 4768 4769 4768 4624 4624 4769 4768 4769 4768 4768 4769 4768 4624 4624 4769 4768 4769 4768 4624 4624 4624 4624 4624 4624 4769 4624 4624 4769 4768 4624 4624 4769 4769 4768 4624 4624 4769 4768 4769 4624 4624 4624 4769 4769 4624 4769 4769 4768 4624 4769 4624 4769 4768 4624 4624 4624 4624 ,normal
4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4769 4769 4624 4769 4768 4624 4624 4624 4769 4769 4624 4769 4769 4624 4769 4624 4624 4769 4768 4624 4769 4768 4624 4624 4624 4624 4769 4624 4769 4624 4624 4624 4769 4769 4624 4769 4769 4624 4769 4768 4624 4769 4768 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4768 4624 4624 4769 4769 4768 4624 4624 4624 4769 4769 4624 4769 4769 4624 4624 4769 4624 4624 4769 4768 4624 4769 4624 4769 4769 4768 4624 4769 4624 4769 4768 4624 4769 4769 4768 ,normal
4624 4769 4769 4768 4624 4624 4769 4768 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4769 4768 4624 4624 4769 4768 ,normal
5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 ,normal
4672 4672 4672 4672 4672 4672 4672 4672 4672 4672 4672 4672 4672 4672 4672 4672 4672 4672 4672 4672 4672 4672 4672 4672 5140 4672 4672 4672 5140 5140 4672 4672 4672 4672 4672 4672 4672 5140 4672 ,normal
