date,eventid,result,id
"57132    2018/03/14 9:38:56
Name: date, dtype: object",4769 4768 4624 4624 4624 4769 4769 4768 4624 4624 4769 4768 4769 4768 4624 4624 4624 4624 4624 4624 4624 4769 4768 4769 4624 4624 4624 4769 4769 4624 4769 4769 4768 ,normal,user0610.1.2.212
"7203    2018/03/09 11:21:35
Name: date, dtype: object",5140 5140 5140 5140 5140 5140 ,normal,mitsunaga
"394    2018/03/08 19:55:21
Name: date, dtype: object",5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 5140 ,normal,fsadmin
"6296    2018/03/09 9:31:18
Name: date, dtype: object",4624 4624 4624 4624 4624 4624 4624 4624 4624 ,normal,dcadmin-
"55725    2018/03/14 9:31:27
Name: date, dtype: object",4776 4776 4776 4776 ,normal,8kibe723u8e8n8KIBE723U8E8N
"54    2018/03/08 19:08:13
Name: date, dtype: object",4624 4769 4624 4769 4624 4769 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4769 4624 4624 4624 4769 4769 4768 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4769 4624 4769 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4769 4624 4769 4624 4624 4769 4769 4768 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4769 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4769 4768 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4769 4769 4624 4769 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4769 4624 4769 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4769 4769 4768 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4769 4769 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4769 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4769 4769 4769 4768 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4769 4769 4624 4769 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4769 4769 4768 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4769 4624 4769 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4769 4624 4769 4624 4624 4769 4624 4769 4769 4768 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4769 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4769 4768 4624 4624 4624 4624 4769 4769 4624 4769 4769 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4769 4624 4769 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4769 4769 4768 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4769 4624 4769 4769 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4769 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4768 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4769 4624 4769 4769 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4769 4624 4769 4624 4769 4769 4768 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4769 4624 4769 4769 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4769 4768 4624 4624 4624 4624 4624 4624 4769 4624 4769 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4769 4769 4624 4624 4624 4624 4624 4624 4769 4769 4768 4624 4624 4769 4624 4624 4624 4624 4769 4768 4769 4768 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4769 4769 4624 4769 4624 4624 4769 4624 4769 4624 4769 4768 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4769 4769 4768 4624 4624 4624 4624 4769 4624 4769 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4769 4624 4769 4769 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4768 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4769 4624 4769 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4769 4624 4769 4769 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4769 4769 4768 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4769 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4769 4624 4769 4624 4624 4769 4769 4768 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4769 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4768 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4769 4624 4769 4769 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4769 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4769 4769 4768 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4769 4769 4624 4769 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4769 4769 4769 4768 4624 4624 4624 4769 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4769 4769 4624 4769 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4769 4768 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4769 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4769 4624 4624 4769 4769 4624 4624 4769 4624 4624 4624 4769 4624 4624 4624 4769 4769 4624 4624 4624 4624 4624 4769 4769 4768 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4769 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4769 4768 4624 4624 4624 4624 4624 4769 4769 4624 4769 4769 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4769 4624 4769 4624 4624 4624 4624 4624 4769 4624 4624 4624 4624 4624 4624 4624 4624 4624 ,normal,filesv$10.0.19.102
"56722    2018/03/14 9:36:46
Name: date, dtype: object",4624 4769 4769 4624 4624 4769 4624 4769 4768 ,normal,matsuda10.0.9.180
